Latin-Title,Bulgarian-Title,Resource-URL
Bovista plumbea,Обикновена пърхутка|Оловносива пърхутка|Пърхутка|Сива пърхутка,http://manatarka.org/bovista-plumbea
Buchwaldoboletus lignicola,Дърворазрушаваща манатарка,http://manatarka.org/buchwaldoboletus-lignicola/
Butyriboletus appendiculatus,Жълта манатарка,http://manatarka.org/butyriboletus-appendiculatus
Butyriboletus fechtneri,Манатарка на Фехтнер|Фехтнерова манатарка,http://manatarka.org/butyriboletus-fechtneri
Butyriboletus regius,Хлебна манатарка|Царска гъба|Царска манатарка,http://manatarka.org/butyriboletus-regius
Caloboletus calopus,Красива манатарка|Красивостъблена манатарка,http://manatarka.org/caloboletus-calopus
Caloboletus radicans,Вкореняваща манатарка|Вкореняваща горчива манатарка,http://manatarka.org/caloboletus-radicans
Calocera cornea,Малка лепкава коралка,http://manatarka.org/calocera-cornea
Calocera viscosa,Лепкава коралка,http://manatarka.org/calocera-viscosa
Calocybe gambosa,Майска гъба|Пролетна миризливка|Челадница,http://manatarka.org/calocybe-gambosa
Calvatia excipuliformis,Главеста пърхутка,http://manatarka.org/calvatia-excipuliformis
Calvatia gigantea,Гигантска пърхутка|Голяма планинска пърхутка,http://manatarka.org/calvatia-gigantea
Calvatia utriformis,Полска пърхутка,http://manatarka.org/calvatia-utriformis
Cantharellus amethysteus,Аметистов пачи крак,http://manatarka.org/cantharellus-amethysteus
Cantharellus cibarius,Обикновен пачи крак|Пачи крак,http://manatarka.org/cantharellus-cibarius
Cantharellus cinereus,Сив пачи крак,http://manatarka.org/cantharellus-cinereus
Cantharellus friesii,Фризиев пачи крак|Фризов пачи крак,http://manatarka.org/cantharellus-friesii
Cantharellus pallens,Бледожълт пачи крак,http://manatarka.org/cantharellus-pallens
Catathelasma imperiale,Царска катателазма,http://manatarka.org/catathelasma-imperiale
Chalciporus piperatus,Лютива манатарка|Лютива масловка,http://manatarka.org/chalciporus-piperatus
Chlorociboria aeruginascens,Синьо-зелена хлороцибория,http://manatarka.org/chlorociboria-aeruginascens
Chlorophyllum agaricoides,Печурковиден ендоптихум|Печурковиден хлорофилум,http://manatarka.org/chlorophyllum-agaricoides
