Latin-Title,Bulgarian-Title,Resource-URL
Amanita vaginata,Бяла сурогризка,http://manatarka.org/amanita-vaginata
Leucoagaricus leucothites,Бяла сърнелка,http://manatarka.org/leucoagaricus-leucothites
Neottiella albocincta,Бялоопасана неотиелла,http://manatarka.org/neottiella-albocincta
Russula emetica,Бясна гъба,http://manatarka.org/russula-emetica
Exsudoporus permagnificus,Великолепна манатарка,http://manatarka.org/exsudoporus-permagnificus
Exsudoporus permagnificus,Величествена манатарка,http://manatarka.org/exsudoporus-permagnificus
Schizophyllum commune,Ветрилка,http://manatarka.org/schizophyllum-commune
Pleurotus eryngii,Ветрогонова гъба,http://manatarka.org/pleurotus-eryngii
Pleurotus eryngii,Ветрогонова кладница,http://manatarka.org/pleurotus-eryngii
Russula vinosa,Винена гълъбка,http://manatarka.org/russula-vinosa
Russula xerampelina,Виненочервена гълъбка,http://manatarka.org/russula-xerampelina
Lepista nuda,Виолетка,http://manatarka.org/lepista-nuda
Inocybe geophylla,Виолетов вълчи зъб,http://manatarka.org/inocybe-geophylla
Russula vesca,Виолетова гълъбка,http://manatarka.org/russula-vesca
Gomphus clavatus,Виолетова тръбенка,http://manatarka.org/gomphus-clavatus
Russula violeipes,Виолетовопънчеста гълъбка,http://manatarka.org/russula-violeipes
Morchella elata,Висока смръчкула,http://manatarka.org/morchella-elata
Caloboletus radicans,Вкореняваща манатарка,http://manatarka.org/caloboletus-radicans
Caloboletus radicans,Вкореняваща горчива манатарка,http://manatarka.org/caloboletus-radicans
Clitocybe vermicularis,Вкореняваща се орешарка,http://manatarka.org/clitocybe-vermicularis
Xerula radicata,Вкореняваща се припънка,http://manatarka.org/xerula-radicata
Trametes hirsuta,Влакнеста праханова гъба,http://manatarka.org/trametes-hirsuta
Volvariella gloiocephala,Волвария,http://manatarka.org/volvariella-gloiocephala
Coprinus comatus,Воловарка,http://manatarka.org/coprinus-comatus
Fistulina hepatica,Волски език,http://manatarka.org/fistulina-hepatica
Russula foetens,Воняща гълъбка,http://manatarka.org/russula-foetens
Hygrocybe ceracea,Восъчна черешова гъба,http://manatarka.org/hygrocybe-ceracea
Macrolepiota procera,Вретенка,http://manatarka.org/macrolepiota-procera
Macrolepiota procera,Връшник,http://manatarka.org/macrolepiota-procera
Grifola frondosa,Възседурка,http://manatarka.org/grifola-frondosa
Lactifluus vellereus,Вълнеста млечница,http://manatarka.org/lactifluus-vellereus
Lycogala,Вълче мляко,http://manatarka.org/list/lycogala
Inocybe erubescens,Вълчи зъб,http://manatarka.org/inocybe-erubescens/
Leccinum pseudoscabrum,Габърова брезова манатарка,http://manatarka.org/leccinum-pseudoscabrum
Leccinum pseudoscabrum,Габърова брезовка,http://manatarka.org/leccinum-pseudoscabrum
Leccinum pseudoscabrum,Габърова гъба,http://manatarka.org/leccinum-pseudoscabrum
